,names,values
40866,Dulquer Salmaan,0.0010175457428934383
5224,Virginia Madsen,0.0010163780329955332
40903,Thara,0.001012759822924691
15028,Adam Driver,0.0010115734101004538
8006,Sissy Spacek,0.0010113544601968582
4278,Jessica Alba,0.0010108173897516426
4103,Mark Gordon,0.0010079509922696801
4173,Rachel Portman,0.0010071430660090032
4394,Amanda Seyfried,0.0010066027029846992
10336,Julio Fernández,0.001004453305234406
4336,Anders Thomas Jensen,0.0010028632176159792
1208,Judi Dench,0.0010024166641843589
2465,Frances McDormand,0.0010005560823616914
542,Martin Sheen,0.00099706348313487
7576,Basil Iwanyk,0.000996999844791918
8096,Ray Winstone,0.0009952794139082557
13388,Nathanaël Karmitz,0.0009920418007572725
26322,Julia Jentsch,0.0009911381969598416
6613,Gwyneth Paltrow,0.000985068157870339
13410,Shirow Masamune,0.0009832892921360515
8793,Clifton Collins Jr.,0.0009803350138417298
4462,Declan Quinn,0.0009800704432840052
28231,Keith Griffiths,0.000980032314245517
3140,Emma Thompson,0.0009776340208669295
3000,Emma Roberts,0.0009767527619976301
11429,Jeff Beal,0.0009764518858263036
5552,Michael Ironside,0.0009759761675442596
1957,Elie Samaha,0.0009748735013874911
10480,Baltasar Kormákur,0.0009725116955851509
3017,Scott Stuber,0.0009715812245993035
4341,Rolfe Kent,0.0009704809845739505
4614,Peter Stormare,0.0009703953316425112
6833,Tom Hardy,0.0009688696747811815
1773,Denise Di Novi,0.0009685263172405086
4744,Wim Wenders,0.000968458505970473
5669,Frank Langella,0.0009669118013038598
4821,Terence Chang,0.0009667807287521646
6161,Liam Cunningham,0.0009652521548872736
3386,Nathan Larson,0.0009629578042625361
287,Peter O'Toole,0.0009625692898844295
33353,Toshiaki Nakazawa,0.0009624128562158442
2571,Mako,0.0009610610014057899
25261,Vivek Oberoi,0.0009568093771009263
2444,Michael Shamberg,0.000956401531644641
3308,Denise Richards,0.0009559548222660886
178,Bernardo Bertolucci,0.0009554314069081876
18914,Serdar Akar,0.0009546495700482358
6292,Michel Merkt,0.0009532003067256046
8506,Martin Freeman,0.0009520945960512654
3897,Bob Kane,0.0009520935867540853
6948,Will Smith,0.0009502334028971348
10178,Mia Wasikowska,0.0009473721924151564
3316,Bob Hoskins,0.0009464156858593694
1732,Danny Aiello,0.0009452212451134736
2877,Jeff Goldblum,0.0009442796314967954
6638,Robby Müller,0.0009418169925635549
7387,Felicity Jones,0.0009413486613500061
7091,Charlie Sheen,0.0009404859790091833
256,Edward R. Pressman,0.0009400038210743237
437,Norman Jewison,0.000939081279229311
3332,Stewart Copeland,0.0009384971303407826
3228,Sean Daniel,0.000938217477582792
4734,Sam Elliott,0.0009378242494363077
7057,Seann William Scott,0.0009373236271267603
14508,Johnny Klimek,0.0009372811612769961
4024,Art Linson,0.0009357318719213778
73,Terence Stamp,0.0009348908118578594
